Home ID,Appliance Type,Energy Consumption (kWh),Time,Date,Outdoor Temperature (?C),Season,Household Size
237,Fridge,0.18,10:09,31-01-2023,-8.6,Winter,5
235,Lights,0.73,18:59,13-04-2023,21.6,Spring,2
326,Lights,0.76,8:23,01-05-2023,20.8,Spring,2
428,Lights,0.93,23:27,23-03-2023,-3.5,Winter,3
491,Washing Machine,0.68,12:03,19-01-2023,14.8,Winter,1
7,Microwave,1.69,19:09,26-01-2023,-6.8,Winter,3
127,Computer,1.94,8:21,23-03-2023,15.1,Winter,1
358,Washing Machine,0.63,18:36,30-06-2023,2.8,Spring,3
96,Lights,1.88,14:13,16-04-2023,12.4,Spring,3
383,Air Conditioning,2.89,14:02,10-05-2023,10.8,Spring,1
467,Heater,3.5,11:17,31-03-2023,9.6,Winter,3
138,Oven,1.79,1:02,24-06-2023,-9.5,Spring,2
271,Computer,1.12,1:17,18-02-2023,-6.3,Winter,1
19,Lights,1.06,22:45,14-02-2023,35.6,Winter,3
35,Heater,3.89,5:56,01-04-2023,27,Spring,5
430,Lights,0.47,22:09,24-06-2023,11.3,Spring,4
85,Dishwasher,0.96,1:32,06-04-2023,35.2,Spring,1
325,TV,0.66,16:35,25-05-2023,6.2,Spring,1
143,Microwave,1.82,0:01,23-03-2023,-8.9,Winter,4
277,Microwave,1.96,15:29,29-05-2023,21.8,Spring,5
192,Washing Machine,0.43,13:02,03-06-2023,31,Spring,4
350,Computer,0.7,18:11,01-04-2023,9,Spring,4
280,Heater,3.07,2:23,29-05-2023,13.8,Spring,1
112,Heater,2.46,0:58,05-03-2023,38.6,Winter,1
105,Heater,2.68,21:47,07-01-2023,9.7,Winter,5
297,Lights,1.85,2:50,11-03-2023,22.5,Winter,4
129,Washing Machine,1.33,11:32,25-03-2023,23.9,Winter,5
437,TV,0.48,15:51,02-04-2023,28.6,Spring,2
161,Dishwasher,1.41,20:52,01-03-2023,19.5,Winter,5
478,Oven,0.48,6:01,07-05-2023,0.7,Spring,1
155,Lights,0.26,13:56,09-02-2023,-3.3,Winter,5
190,Fridge,0.16,10:00,28-06-2023,33.7,Spring,2
138,TV,1.9,7:33,30-03-2023,30.2,Winter,1
285,Oven,1.71,20:04,30-01-2023,34,Winter,3
97,Lights,0.72,16:27,29-05-2023,16,Spring,2
176,Washing Machine,0.88,1:21,31-01-2023,19.9,Winter,3
288,Microwave,1.45,9:09,19-06-2023,27.2,Spring,3
118,Washing Machine,1.49,6:15,12-05-2023,28.4,Spring,3
249,Lights,1.89,8:49,16-04-2023,-2.9,Spring,5
117,Air Conditioning,3.84,23:28,26-02-2023,-0.8,Winter,1
18,TV,0.36,14:21,19-03-2023,-1.4,Winter,4
12,Heater,3.12,1:37,08-03-2023,22.1,Winter,4
361,Oven,0.47,3:48,18-03-2023,17.2,Winter,1
404,Computer,1.44,12:26,17-02-2023,14.6,Winter,5
287,TV,1.65,5:31,06-02-2023,-6.5,Winter,3
360,Heater,2.29,20:16,28-04-2023,32.2,Spring,4
112,Lights,1.55,10:16,24-01-2023,39.1,Winter,4
424,Lights,1.99,2:44,15-02-2023,9.8,Winter,3
72,Heater,3.69,19:11,02-04-2023,17.7,Spring,1
10,Dishwasher,1.33,18:36,06-05-2023,18.1,Spring,1
259,Washing Machine,1.16,8:53,31-03-2023,31.5,Winter,3
286,Heater,2.88,11:42,05-02-2023,38.7,Winter,3
98,Microwave,1.29,15:26,26-05-2023,17,Spring,4
396,Air Conditioning,4.97,6:41,15-01-2023,38.8,Winter,1
376,Heater,3.26,8:54,17-01-2023,8.2,Winter,5
309,Computer,0.46,7:54,23-05-2023,16.3,Spring,4
313,Washing Machine,1.56,23:11,25-01-2023,31.7,Winter,3
13,Dishwasher,1.67,1:38,27-04-2023,-4.2,Spring,1
437,Fridge,0.23,4:36,18-01-2023,-1.8,Winter,5
465,Lights,1.25,10:02,30-05-2023,20.2,Spring,4
493,Microwave,1.11,21:41,04-04-2023,-9,Spring,3
270,Washing Machine,0.76,20:56,21-03-2023,8.4,Winter,3
109,Fridge,0.14,5:30,08-05-2023,36.1,Spring,4
431,Dishwasher,1.82,3:46,12-04-2023,4.9,Spring,3
32,Microwave,1.96,23:18,13-04-2023,36.6,Spring,1
453,Oven,0.21,14:58,19-01-2023,34.1,Winter,1
82,Air Conditioning,3.93,5:46,29-04-2023,12.5,Spring,1
82,Washing Machine,1.68,12:18,21-05-2023,29.2,Spring,3
90,Dishwasher,0.79,4:39,21-06-2023,7.1,Spring,1
442,Dishwasher,0.54,9:14,25-05-2023,30.1,Spring,2
145,Washing Machine,1.22,19:40,10-06-2023,36.8,Spring,3
91,Computer,0.96,1:25,24-03-2023,16.2,Winter,1
457,Air Conditioning,2.74,15:00,28-02-2023,34.1,Winter,1
300,Lights,0.52,11:05,26-03-2023,11.6,Winter,5
384,Lights,0.27,11:42,25-02-2023,25.9,Winter,5
151,Computer,0.82,22:43,15-05-2023,16.9,Spring,1
447,Microwave,0.38,13:07,28-03-2023,17.7,Winter,4
474,Computer,1.5,5:45,09-06-2023,19.1,Spring,3
273,Heater,3.55,16:02,10-03-2023,3.4,Winter,4
127,TV,0.77,16:02,22-05-2023,39.5,Spring,5
200,Heater,3.19,21:32,20-05-2023,27.8,Spring,2
15,Lights,1.15,11:22,29-03-2023,17,Winter,1
185,TV,0.74,2:15,04-04-2023,4.2,Spring,4
482,Oven,0.75,16:47,21-06-2023,30.5,Spring,3
149,Heater,3.18,1:19,12-02-2023,2.8,Winter,5
13,Washing Machine,0.94,16:07,20-05-2023,4.5,Spring,5
479,Oven,0.89,3:06,02-04-2023,28.3,Spring,2
217,Oven,1.19,20:25,04-06-2023,35.9,Spring,1
332,Washing Machine,0.32,10:05,09-06-2023,25.6,Spring,5
176,Heater,3.7,21:47,28-06-2023,7.4,Spring,2
487,Air Conditioning,3.13,23:11,23-02-2023,12.1,Winter,2
255,Dishwasher,1.45,20:37,30-05-2023,18.1,Spring,2
247,TV,1.84,11:09,09-02-2023,-7.4,Winter,4
408,Dishwasher,1.54,9:20,02-03-2023,-7,Winter,1
377,Washing Machine,1.28,18:33,15-03-2023,29,Winter,5
426,Air Conditioning,4.63,7:41,08-04-2023,-7.6,Spring,4
311,TV,1.97,19:43,17-05-2023,5,Spring,1
125,Dishwasher,0.78,16:17,05-03-2023,14.6,Winter,4
355,Fridge,0.15,8:35,27-01-2023,0.1,Winter,5
409,Dishwasher,1.61,7:42,14-06-2023,-2.8,Spring,3
296,TV,1.11,1:04,27-04-2023,14,Spring,2
122,Air Conditioning,2.49,5:44,13-04-2023,31.3,Spring,4
39,Oven,1.37,11:31,11-04-2023,24.1,Spring,1
459,Microwave,0.38,8:54,31-01-2023,33.8,Winter,1
348,Air Conditioning,3.91,6:57,18-03-2023,11,Winter,1
360,Dishwasher,0.82,23:20,23-04-2023,37.3,Spring,2
165,Fridge,0.21,9:28,29-05-2023,7.9,Spring,5
154,Washing Machine,1.54,16:51,31-05-2023,7.8,Spring,5
435,Fridge,0.24,17:41,12-01-2023,25.9,Winter,5
470,TV,1.45,1:42,01-06-2023,7.3,Spring,4
261,Oven,0.68,6:50,19-01-2023,6.7,Winter,4
385,Fridge,0.33,1:51,12-01-2023,38.5,Winter,4
74,Microwave,0.51,17:28,27-04-2023,27.2,Spring,1
188,Dishwasher,1.65,22:50,26-02-2023,-2.2,Winter,5
324,Heater,4.92,19:56,06-04-2023,39.8,Spring,2
117,Heater,2.85,14:23,17-06-2023,32.1,Spring,2
150,Computer,1.33,4:52,28-01-2023,14.4,Winter,2
219,Computer,1.82,6:49,16-02-2023,10.9,Winter,1
405,Computer,0.79,15:27,12-05-2023,20.1,Spring,5
2,Fridge,0.26,11:02,04-04-2023,-1.4,Spring,1
118,Air Conditioning,4.19,6:24,02-01-2023,19.3,Winter,5
53,Lights,1.49,19:24,12-01-2023,-0.5,Winter,3
107,TV,0.92,5:15,20-06-2023,13.6,Spring,1
470,Washing Machine,0.34,2:21,11-04-2023,20.9,Spring,1
258,Lights,1.66,6:03,14-05-2023,14,Spring,4
241,Oven,0.98,19:35,01-02-2023,34.1,Winter,3
370,Fridge,0.31,20:20,23-03-2023,12.5,Winter,5
450,TV,1.98,16:02,11-05-2023,25.5,Spring,5
343,Washing Machine,0.6,20:15,27-03-2023,17.7,Winter,1
208,Computer,1.53,16:45,02-04-2023,20.9,Spring,5
492,Computer,0.96,21:03,26-05-2023,21.4,Spring,5
355,Air Conditioning,2.32,1:45,18-01-2023,-1.1,Winter,5
324,Lights,1.15,10:14,19-04-2023,34.9,Spring,3
122,TV,1.18,18:57,29-05-2023,-7.5,Spring,4
24,Fridge,0.28,7:24,17-01-2023,10.6,Winter,5
383,Fridge,0.11,13:38,07-03-2023,30,Winter,1
222,Washing Machine,0.74,20:53,13-04-2023,-1.5,Spring,5
113,Dishwasher,1.27,2:29,15-03-2023,29.5,Winter,4
130,Lights,1.34,5:16,25-02-2023,5.3,Winter,3
301,Fridge,0.49,21:36,18-01-2023,23.6,Winter,3
90,Washing Machine,0.89,0:28,05-02-2023,29.4,Winter,2
231,Fridge,0.26,4:32,11-03-2023,0.2,Winter,1
222,Fridge,0.23,17:14,28-06-2023,33.4,Spring,1
207,Air Conditioning,4.03,3:45,18-03-2023,32.4,Winter,1
8,Computer,0.37,18:43,11-02-2023,1.8,Winter,1
498,Washing Machine,0.67,3:50,07-04-2023,-3,Spring,5
25,Air Conditioning,2.42,9:57,20-04-2023,0.4,Spring,4
443,Heater,2.72,14:53,10-02-2023,17.1,Winter,4
173,Oven,1.03,18:16,16-01-2023,38.4,Winter,5
485,Dishwasher,1.95,2:35,18-05-2023,19.1,Spring,3
474,Microwave,1,12:08,28-02-2023,16.5,Winter,4
135,Heater,2.39,22:27,19-03-2023,30.5,Winter,4
241,Microwave,0.47,16:10,29-01-2023,-0.8,Winter,2
251,Oven,0.55,15:38,28-04-2023,9,Spring,4
225,Computer,0.31,15:38,04-01-2023,20.9,Winter,2
74,Heater,4.06,23:10,17-01-2023,-5,Winter,1
317,Computer,0.91,23:13,22-01-2023,-2,Winter,4
218,Heater,4.15,11:10,06-01-2023,34.6,Winter,2
446,Lights,0.68,20:51,21-06-2023,39.2,Spring,2
410,Washing Machine,1.23,22:55,13-02-2023,30.3,Winter,1
421,Dishwasher,0.64,13:19,17-01-2023,36.1,Winter,1
253,TV,1.74,14:38,20-01-2023,13.3,Winter,2
10,Dishwasher,1.14,18:00,26-03-2023,11.5,Winter,5
88,Dishwasher,0.51,17:12,27-03-2023,19.8,Winter,3
155,Air Conditioning,4.66,13:48,28-01-2023,1.8,Winter,2
430,Fridge,0.13,7:57,14-03-2023,25.6,Winter,3
447,Washing Machine,0.3,20:36,10-06-2023,-5.9,Spring,2
445,Heater,4.75,19:26,25-06-2023,-5,Spring,3
432,Washing Machine,0.23,23:34,24-05-2023,35.6,Spring,5
411,Computer,0.46,17:26,02-03-2023,22.1,Winter,3
342,Microwave,1.2,15:56,28-02-2023,6.7,Winter,5
140,Computer,0.57,9:46,10-05-2023,5.8,Spring,5
175,Air Conditioning,4.27,6:19,24-06-2023,28.9,Spring,5
389,TV,1.79,1:02,21-02-2023,0.1,Winter,5
185,Oven,0.67,10:24,08-02-2023,-2.3,Winter,4
108,Heater,2.67,10:35,30-04-2023,3.1,Spring,4
388,TV,1.08,23:10,27-04-2023,38.3,Spring,3
486,Washing Machine,1.78,14:41,01-02-2023,-4.4,Winter,3
152,Fridge,0.34,17:49,07-04-2023,22.1,Spring,4
110,Washing Machine,0.59,19:31,08-04-2023,19,Spring,1
408,Air Conditioning,3.15,15:18,12-02-2023,6.3,Winter,4
342,Washing Machine,0.36,22:36,25-06-2023,-9.9,Spring,3
125,Dishwasher,0.4,11:07,26-01-2023,10.6,Winter,1
191,Oven,0.59,14:58,09-02-2023,23.5,Winter,4
43,TV,0.95,3:04,15-04-2023,10.6,Spring,4
283,Computer,0.28,7:05,05-01-2023,7.1,Winter,4
336,Heater,3.31,11:02,27-03-2023,34.5,Winter,3
229,Microwave,1.78,16:37,21-05-2023,8.2,Spring,1
155,Heater,2.83,20:58,05-01-2023,20.6,Winter,2
242,TV,1.51,15:34,03-03-2023,-3.1,Winter,5
154,Oven,1.32,20:35,06-02-2023,6.8,Winter,1
207,Washing Machine,1.15,4:22,20-02-2023,39.7,Winter,5
394,Air Conditioning,4.86,7:40,28-01-2023,8.4,Winter,1
259,TV,0.21,11:42,14-02-2023,3.2,Winter,3
284,Washing Machine,0.66,2:32,17-02-2023,33.5,Winter,2
406,TV,0.2,15:27,17-02-2023,4.9,Winter,3
418,Computer,0.64,13:00,22-01-2023,9.1,Winter,3
375,Microwave,1.24,4:16,12-04-2023,28.8,Spring,2
381,Washing Machine,1.75,0:05,28-05-2023,2.8,Spring,5
277,Oven,1.32,9:14,03-03-2023,11.3,Winter,3
410,Dishwasher,1.17,12:21,28-05-2023,-6.2,Spring,4
336,TV,1.79,8:39,26-03-2023,23.3,Winter,5
176,Oven,1.74,8:58,25-01-2023,-8.8,Winter,1
407,Heater,3.93,9:56,31-05-2023,18.1,Spring,1
117,Washing Machine,0.6,2:51,11-02-2023,-2.7,Winter,1
12,TV,1.9,3:48,31-05-2023,2.4,Spring,3
374,Computer,1.43,12:53,11-01-2023,10.4,Winter,5
359,Heater,4.91,22:41,20-03-2023,35.8,Winter,5
180,Air Conditioning,3.78,10:04,15-04-2023,-8.3,Spring,3
132,Oven,0.31,22:03,02-01-2023,1.2,Winter,3
439,Fridge,0.33,10:10,03-06-2023,32.5,Spring,5
104,Lights,1.01,20:50,05-03-2023,26.4,Winter,3
289,Computer,0.84,18:11,03-03-2023,31.5,Winter,5
411,Dishwasher,1.71,9:52,08-04-2023,-8.7,Spring,1
23,Fridge,0.33,22:29,04-05-2023,34.6,Spring,1
170,Microwave,1.82,5:52,09-05-2023,19.4,Spring,1
351,Dishwasher,0.44,13:44,02-04-2023,-8.1,Spring,4
405,Computer,0.68,3:23,12-04-2023,16.5,Spring,2
1,Washing Machine,0.59,16:56,19-03-2023,4,Winter,2
444,Air Conditioning,3.29,18:23,29-06-2023,3.5,Spring,4
255,Microwave,1.22,21:00,12-06-2023,26.1,Spring,2
143,Heater,3.28,3:16,01-01-2023,33,Winter,5
411,Heater,4.89,2:00,02-04-2023,15.2,Spring,1
312,Dishwasher,0.28,15:56,04-03-2023,32.7,Winter,2
239,Washing Machine,0.94,21:47,12-01-2023,-5.4,Winter,5
319,Dishwasher,0.93,14:29,29-01-2023,33,Winter,5
12,Washing Machine,0.65,22:59,13-04-2023,-2,Spring,1
51,Dishwasher,1.89,20:51,17-04-2023,-3.8,Spring,4
52,Oven,1.68,17:43,28-06-2023,36.7,Spring,5
344,Dishwasher,0.33,15:58,31-01-2023,38.9,Winter,2
361,Washing Machine,1.38,22:02,12-06-2023,5.6,Spring,5
101,Fridge,0.49,7:08,28-01-2023,20.4,Winter,3
13,Air Conditioning,3.63,6:21,12-02-2023,10.4,Winter,3
212,Microwave,1.4,15:59,23-05-2023,29.1,Spring,2
255,Computer,1.39,12:47,09-05-2023,3.9,Spring,4
401,Lights,0.71,2:24,19-05-2023,2.4,Spring,4
336,Lights,0.62,7:27,17-05-2023,-3,Spring,4
42,TV,1.39,12:08,29-04-2023,5.9,Spring,1
297,Air Conditioning,4.68,12:04,29-04-2023,-1.8,Spring,4
355,Lights,0.97,5:49,02-02-2023,-1.8,Winter,2
17,Dishwasher,0.36,4:52,20-01-2023,6.3,Winter,4
283,Oven,1.62,19:45,10-04-2023,-5.8,Spring,3
204,Air Conditioning,4.37,4:18,27-05-2023,30.1,Spring,4
8,Oven,1.23,13:18,07-01-2023,37.1,Winter,1
90,Fridge,0.25,1:49,28-01-2023,27,Winter,2
444,TV,0.28,4:02,08-06-2023,-5.1,Spring,1
388,Washing Machine,1.01,8:35,24-01-2023,1.9,Winter,1
469,Air Conditioning,3.02,17:00,27-04-2023,38,Spring,2
391,Dishwasher,1.39,23:34,12-01-2023,-0.6,Winter,1
298,Heater,3.07,1:02,26-01-2023,-9,Winter,1
255,Dishwasher,1.42,18:18,24-01-2023,-4,Winter,3
302,TV,0.4,17:05,25-05-2023,32,Spring,1
26,Air Conditioning,3.06,23:52,22-03-2023,17.8,Winter,1
393,Lights,1.22,4:09,04-03-2023,0.1,Winter,3
224,Lights,1.3,7:46,23-05-2023,12.3,Spring,2
452,Fridge,0.24,21:50,03-02-2023,-6.8,Winter,3
416,Microwave,1.63,7:10,27-06-2023,29.6,Spring,1
203,TV,1.06,11:44,21-05-2023,4.4,Spring,1
32,TV,1.36,6:51,29-05-2023,35.9,Spring,5
407,Washing Machine,1.66,11:32,06-04-2023,-8.6,Spring,5
482,Lights,1.3,17:55,21-01-2023,-0.9,Winter,1
259,Heater,4.52,14:29,25-03-2023,-1,Winter,1
375,Microwave,0.64,2:13,28-01-2023,-2.9,Winter,5
386,Fridge,0.21,11:14,12-06-2023,29.3,Spring,5
111,Fridge,0.46,14:44,18-06-2023,13,Spring,2
62,Dishwasher,0.79,12:19,03-02-2023,35.3,Winter,4
27,Microwave,0.4,0:14,07-06-2023,9.2,Spring,5
315,Dishwasher,0.62,2:56,01-04-2023,25.7,Spring,3
